timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1490,FixedSpread,SellPressure,96.269646,96.219646,96.319646,0.007014,179,-17446.062687,-213.796077,10,3538
1491,FixedSpread,SellPressure,96.267253,96.219646,96.319646,0.006737,179,-17446.062687,-214.224417,25,3538
1492,FixedSpread,SellPressure,96.281541,96.219646,96.319646,0.007190,175,-17060.784104,-211.514424,25,3534
1493,FixedSpread,SellPressure,96.279850,96.219646,96.319646,0.006860,175,-17060.784104,-211.810281,25,3553
1494,FixedSpread,SellPressure,96.282191,96.219646,96.319646,0.006589,175,-17060.784104,-211.400626,34,3553
1495,FixedSpread,SellPressure,96.272349,96.219646,96.319646,0.006784,179,-17445.662687,-212.912184,30,3553
1496,FixedSpread,SellPressure,96.286485,96.219646,96.319646,0.007225,176,-17156.703750,-210.282426,30,3550
1497,FixedSpread,SellPressure,96.272228,96.134586,96.319646,0.007647,182,-17734.021625,-212.476042,14,3550
1498,FixedSpread,SellPressure,96.277008,96.134586,96.319646,0.007475,182,-17734.021625,-211.606164,14,3558
1499,FixedSpread,SellPressure,96.288953,96.134586,96.334111,0.007743,175,-17059.752851,-209.186133,14,3551
1500,FixedSpread,SellPressure,96.297821,96.247821,96.334111,0.007811,175,-17059.752851,-207.634262,24,3548
1501,FixedSpread,SellPressure,96.293881,96.249301,96.334111,0.007578,175,-17059.752851,-208.323669,37,3548
1502,FixedSpread,SellPressure,96.297197,96.249301,96.329588,0.007323,175,-17059.752851,-207.743416,37,3557
1503,FixedSpread,SellPressure,96.285816,96.249301,96.329588,0.007566,175,-17059.752851,-209.734965,31,3557
1504,FixedSpread,SellPressure,96.287144,96.249301,96.329588,0.007192,175,-17059.752851,-209.502685,50,3557
1505,FixedSpread,SellPressure,96.300765,96.249301,96.347821,0.007578,170,-16578.013749,-206.883756,50,3537
1506,FixedSpread,SellPressure,96.299795,96.249301,96.347821,0.007181,170,-16578.013749,-207.048647,50,3543
1507,FixedSpread,SellPressure,96.310106,96.249301,96.400295,0.007369,165,-16096.274646,-205.107095,50,3529
1508,FixedSpread,SellPressure,96.321725,96.249301,96.406516,0.007624,160,-15614.242068,-202.766029,50,3519
1509,FixedSpread,SellPressure,96.321408,96.255903,96.406516,0.007186,160,-15614.242068,-202.816804,55,3519
1510,FixedSpread,SellPressure,96.325893,96.275893,96.375893,0.007023,160,-15614.242068,-202.099241,65,3531
1511,FixedSpread,SellPressure,96.322932,96.275893,96.375893,0.006780,160,-15614.242068,-202.572897,65,3546
1512,FixedSpread,SellPressure,96.308056,96.255903,96.375893,0.007266,170,-16577.000994,-204.631532,54,3546
1513,FixedSpread,SellPressure,96.292902,96.247821,96.375893,0.007739,178,-17346.983558,-206.846989,35,3546
1514,FixedSpread,SellPressure,96.278128,96.160012,96.375893,0.008161,180,-17539.479199,-209.416086,24,3546
1515,FixedSpread,SellPressure,96.283068,96.160012,96.375893,0.007968,180,-17539.479199,-208.526971,25,3546
1516,FixedSpread,SellPressure,96.287620,96.160012,96.349818,0.007763,180,-17539.479199,-207.707622,25,3553
1517,FixedSpread,SellPressure,96.283221,96.160012,96.349818,0.007561,180,-17539.479199,-208.499496,25,3568
1518,FixedSpread,SellPressure,96.284112,96.160012,96.349818,0.007161,180,-17539.479199,-208.339095,25,3575
1519,FixedSpread,SellPressure,96.284232,96.160012,96.349818,0.006738,180,-17539.479199,-208.317389,25,3578
1520,FixedSpread,SellPressure,96.284916,96.234916,96.297719,0.006375,180,-17539.479199,-208.194233,35,3598
1521,FixedSpread,SellPressure,96.294317,96.234916,96.297719,0.006557,180,-17539.479199,-206.502132,35,3589
1522,FixedSpread,SellPressure,96.294536,96.234916,96.297719,0.006176,180,-17539.479199,-206.462677,53,3589
1523,FixedSpread,SellPressure,96.277715,96.212372,96.297719,0.006815,190,-18501.828364,-209.062578,43,3589
1524,FixedSpread,SellPressure,96.262910,96.212372,96.297719,0.007294,190,-18501.828364,-211.875377,41,3589
1525,FixedSpread,SellPressure,96.249880,96.212372,96.297719,0.007639,190,-18501.828364,-214.351108,30,3589
1526,FixedSpread,SellPressure,96.248419,96.212372,96.297719,0.007268,190,-18501.828364,-214.628817,34,3589
1527,FixedSpread,SellPressure,96.251617,96.212372,96.297719,0.007024,190,-18501.828364,-214.021069,34,3602
1528,FixedSpread,SellPressure,96.249070,96.212372,96.297719,0.006755,190,-18501.828364,-214.505067,34,3610
1529,FixedSpread,SellPressure,96.249762,96.212372,96.297719,0.006391,190,-18501.828364,-214.373629,34,3618
1530,FixedSpread,SellPressure,96.253974,96.212372,96.297719,0.006261,190,-18501.828364,-213.573339,44,3643
1531,FixedSpread,SellPressure,96.251650,96.212372,96.297719,0.006024,190,-18501.828364,-214.014902,44,3655
1532,FixedSpread,SellPressure,96.243347,96.160012,96.297719,0.006161,200,-19463.868102,-215.198727,26,3655
1533,FixedSpread,SellPressure,96.230346,96.134586,96.297719,0.006572,200,-19463.868102,-217.798978,13,3655
1534,FixedSpread,SellPressure,96.220169,nan,96.297719,0.006788,200,-19463.868102,-219.834218,0,3655
1535,FixedSpread,SellPressure,96.205354,nan,96.297719,0.007269,200,-19463.868102,-222.797368,0,3655
1536,FixedSpread,SellPressure,96.192284,nan,96.297719,0.007618,200,-19463.868102,-225.411339,0,3655
1537,FixedSpread,SellPressure,96.179570,nan,96.297719,0.007923,200,-19463.868102,-227.954026,0,3655
